Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
I	2025-03-29 18:06:59.589224	62075	73	school	48.52	4	2021-11-26	SC	2-Day	play
I	2025-03-29 18:06:59.589229	16053	21	language	90.34	5	2022-06-06	SC	Overnight	management
I	2025-03-29 18:06:59.589233	97643	76	degree	93.26	5	2021-02-14	PW	Standard	play
I	2025-03-29 18:06:59.589236	97563	19	marketing	80.47	5	2024-08-08	PW	2-Day	book
I	2025-03-29 18:06:59.589240	45081	59	degree	41.15	1	2023-08-29	CA	3-Day	trouble
I	2025-03-29 18:06:59.589244	39318	51	marketing	38.01	1	2023-06-17	FL	Overnight	management
I	2025-03-29 18:06:59.589248	36743	16	market	50.73	3	2021-05-05	CT	2-Day	management
I	2025-03-29 18:06:59.589252	61613	53	bit	79.14	5	2022-06-09	SC	Overnight	play
I	2025-03-29 18:06:59.589255	84365	39	marketing	38.48	2	2021-09-13	CA	3-Day	search
I	2025-03-29 18:06:59.589259	34191	84	bit	44.44	1	2024-03-31	CA	3-Day	play
I	2025-03-29 18:06:59.589262	95645	40	degree	22.77	5	2021-07-11	CA	3-Day	trouble
I	2025-03-29 18:06:59.589266	30562	56	school	75.3	5	2023-08-27	CT	3-Day	book
I	2025-03-29 18:06:59.589270	69576	82	market	43.33	3	2024-04-28	CT	Standard	others
I	2025-03-29 18:06:59.589273	77845	23	market	15.35	3	2022-12-27	CA	Overnight	play
I	2025-03-29 18:06:59.589277	55996	94	marketing	58.62	1	2022-05-11	FL	3-Day	book
I	2025-03-29 18:06:59.589281	48532	79	language	68.96	3	2022-09-17	VI	2-Day	others
I	2025-03-29 18:06:59.589284	75857	40	language	40.78	5	2021-06-08	VI	Standard	play
I	2025-03-29 18:06:59.589288	77228	52	degree	16.03	2	2023-12-26	VI	Standard	book
I	2025-03-29 18:06:59.589291	35124	24	marketing	29.91	2	2021-11-18	NY	Standard	play
I	2025-03-29 18:06:59.589301	60132	83	school	71.44	5	2022-10-07	CA	2-Day	play
I	2025-03-29 18:06:59.589304	83297	60	marketing	19.17	4	2022-10-16	SC	Standard	play
